ID,X,Y,Z
P1,536798.169645378,3254168.4280791,217.368
P2,536798.184657677,3254163.8114257,216.904
P3,536798.199669958,3254159.19477232,216.419
P4,536798.214682182,3254154.57813005,215.923
P5,536798.229694423,3254149.96147673,215.43
P6,536798.244706645,3254145.34482343,214.956
P7,536798.259718811,3254140.72818125,214.519
P8,536798.274730994,3254136.11152801,214.128
P9,536798.289743158,3254131.49487481,213.785
P10,536798.304755266,3254126.87823271,213.486
P11,536798.31976739,3254122.26157956,213.228
P12,536798.334779495,3254117.64492644,213.004
P13,536798.349791545,3254113.02828443,212.806
P14,536798.364803611,3254108.41163137,212.62
P15,536798.379815658,3254103.79497833,212.393
P16,536798.394827649,3254099.17833641,212.153
P17,536798.409839656,3254094.56168343,211.993
P18,536798.424851645,3254089.94503048,211.828
P19,536798.439863578,3254085.32838865,211.599
P20,536798.454875527,3254080.71173576,211.34
P21,536798.469887457,3254076.09508289,211.041
P22,536798.484899331,3254071.47844114,210.705
P23,536798.499911222,3254066.86178834,210.316
P24,536798.514923094,3254062.24513556,209.885
P25,536798.52993491,3254057.6284939,209.549
P26,536826.49375957,3254159.28681341,210.79
P27,536826.508783338,3254154.67017106,210.565
P28,536826.523807122,3254150.05351766,210.364
P29,536826.538830887,3254145.43686428,210.113
P30,536826.553854597,3254140.82022202,209.872
P31,536826.568878323,3254136.2035687,209.602
P32,536826.58390203,3254131.58691541,209.389
P33,536826.598925681,3254126.97027324,209.317
P34,536826.613949349,3254122.35362001,209.276
P35,536826.628972997,3254117.7369668,209.187
P36,536826.64399659,3254113.12032471,209.1
P37,536826.6590202,3254108.50367157,209.1
P38,536826.67404379,3254103.88701845,209.1
P39,536826.689067324,3254099.27037645,209.1
P40,536826.704090875,3254094.65372339,209.1
P41,536826.719114407,3254090.03707036,209.196
P42,536826.734137883,3254085.42042844,209.291
P43,536826.749161375,3254080.80377547,209.329
P44,536826.764184848,3254076.18712253,209.517
P45,536826.779208266,3254071.57048069,209.702
P46,536826.7942317,3254066.95382781,209.933
P47,536826.809255115,3254062.33717495,209.904
P48,536826.824278474,3254057.7205332,209.868
P49,536826.83930185,3254053.10388041,209.823
P50,536826.854325206,3254048.48722764,209.773
P51,536854.787849677,3254159.37892525,209.262
P52,536854.802884988,3254154.76228282,209.299
P53,536854.817920316,3254150.14562934,209.446
P54,536854.832955625,3254145.52897588,209.592
P55,536854.847990878,3254140.91233353,209.872
P56,536854.863026147,3254136.29568014,210.13
P57,536854.878061398,3254131.67902677,210.407
P58,536854.893096592,3254127.06238451,210.515
P59,536854.908131803,3254122.4457312,210.628
P60,536854.923166995,3254117.82907791,210.748
P61,536854.938202131,3254113.21243574,210.869
P62,536854.953237284,3254108.59578251,210.991
P63,536854.968272417,3254103.97912932,211.113
P64,536854.983307494,3254099.36248723,211.231
P65,536854.998342589,3254094.74583409,211.337
P66,536855.013377663,3254090.12918098,211.439
P67,536855.028412683,3254085.51253898,211.539
P68,536855.043447718,3254080.89588593,211.626
P69,536855.058482735,3254076.27923291,211.684
P70,536855.073517695,3254071.66259099,211.707
P71,536855.088552673,3254067.04593803,211.691
P72,536855.103587631,3254062.42928509,211.634
P73,536855.118622533,3254057.81264326,211.528
P74,536855.133657452,3254053.19599038,211.373
P75,536855.148692351,3254048.57933753,211.192
P76,536855.163727195,3254043.96269579,211.008
P77,536883.127071161,3254145.62115819,212.165
P78,536883.142117957,3254141.00451576,212.342
P79,536883.15716477,3254136.38786229,212.506
P80,536883.172211564,3254131.77120883,212.672
P81,536774.037610151,3254131.41603918,219.804
P82,536774.052612364,3254126.79939715,219.559
P83,536774.067614594,3254122.18274407,219.174
P84,536774.082616805,3254117.56609102,218.972
P85,536774.097618961,3254112.94944908,218.787
P86,536774.112621132,3254108.33279608,218.62
P87,536774.127623285,3254103.71614312,218.465
P88,536774.142625382,3254099.09950126,218.309
P89,536774.157627495,3254094.48284836,218.197
P90,536774.17262959,3254089.86619548,218.23
P91,536774.187631628,3254085.24955371,218.088
P92,536774.202633684,3254080.63290089,217.875
P93,536774.217635719,3254076.0162481,217.597
P94,536774.2326377,3254071.39960641,217.167
P95,536802.226671572,3254163.82457011,215.821
P96,536802.241685501,3254159.20791672,215.277
P97,536802.256699375,3254154.59127444,214.751
P98,536802.271713265,3254149.97462111,214.25
P99,536802.286727136,3254145.3579678,213.783
P100,536802.301740951,3254140.74132561,213.358
P101,536802.316754783,3254136.12467236,213.026
P102,536802.331768595,3254131.50801914,212.747
P103,536802.346782352,3254126.89137704,212.517
P104,536802.361796126,3254122.27472387,212.311
P105,536802.37680988,3254117.65807074,212.136
P106,536802.391823579,3254113.04142872,211.963
P107,536802.406837294,3254108.42477564,211.799
P108,536802.42185099,3254103.8081226,211.646
P109,536802.43686463,3254099.19148066,211.452
P110,536802.451878287,3254094.57482767,211.247
P111,536802.466891924,3254089.95817472,211.04
P112,536802.481905506,3254085.34153287,210.793
P113,536802.496919104,3254080.72487996,210.503
P114,536802.511932683,3254076.10822709,210.19
P115,536802.526946207,3254071.49158533,209.826
P116,536802.541959747,3254066.87493251,209.519
P117,536802.556973267,3254062.25827973,209.44
P118,536802.571986732,3254057.64163805,209.289
P119,536830.535775183,3254159.29996792,210.279
P120,536830.5508006,3254154.68332556,210.049
P121,536830.565826034,3254150.06667215,209.822
P122,536830.580851448,3254145.45001876,209.566
P123,536830.595876807,3254140.83337649,209.366
P124,536830.610902182,3254136.21672316,209.322
P125,536830.625927538,3254131.60006986,209.225
P126,536830.640952838,3254126.98342767,209.136
P127,536830.655978155,3254122.36677443,209.1
P128,536830.671003452,3254117.75012121,209.1
P129,536830.686028694,3254113.13347911,209.1
P130,536830.701053952,3254108.51682595,209.1
P131,536830.716079191,3254103.90017283,209.178
P132,536830.731104375,3254099.28353081,209.238
P133,536830.746129575,3254094.66687774,209.329
P134,536830.761154755,3254090.0502247,209.347
P135,536830.776179881,3254085.43358277,209.538
P136,536830.791205022,3254080.81692979,209.719
P137,536830.806230144,3254076.20027683,209.936
P138,536830.821255211,3254071.58363499,209.915
P139,536830.836280294,3254066.96698209,209.892
P140,536830.851305358,3254062.35032922,209.863
P141,536830.866330366,3254057.73368746,209.829
P142,536830.881355391,3254053.11703465,209.787
P143,536830.896380396,3254048.50038187,209.739
P144,536858.844892621,3254154.77544739,209.662
P145,536858.859929598,3254150.1587939,209.868
P146,536858.874966556,3254145.54214043,210.062
P147,536858.890003458,3254140.92549807,210.342
P148,536858.905040377,3254136.30884467,210.477
P149,536858.920077276,3254131.69219128,210.62
P150,536858.935114119,3254127.07554901,210.776
P151,536858.950150979,3254122.45889569,210.936
P152,536858.96518782,3254117.8422424,211.1
P153,536858.980224605,3254113.22560021,211.265
P154,536858.995261407,3254108.60894697,211.428
P155,536859.010298189,3254103.99229377,211.588
P156,536859.025334916,3254099.37565167,211.735
P157,536859.040371659,3254094.75899852,211.862
P158,536859.055408383,3254090.1423454,211.978
P159,536859.070445051,3254085.52570338,212.086
P160,536859.085481736,3254080.90905032,212.176
P161,536859.100518401,3254076.29239728,212.231
P162,536859.115555011,3254071.67575536,212.245
P163,536859.130591637,3254067.05910238,212.216
P164,536859.145628244,3254062.44244943,212.141
P165,536859.160664795,3254057.82580759,212.003
P166,536859.175701363,3254053.2091547,211.809
P167,536859.190737912,3254048.59250184,211.589
P168,536859.205774404,3254043.97586008,211.366
P169,536887.169091864,3254145.63433288,212.496
P170,536778.049627672,3254140.66248118,219.56
P171,536778.064631609,3254136.045828,219.311
P172,536778.079635527,3254131.42917485,218.872
P173,536778.09463939,3254126.81253281,218.628
P174,536778.109643269,3254122.19587972,218.397
P175,536778.124647129,3254117.57922666,218.189
P176,536778.139650934,3254112.9625847,218.014
P177,536778.154654754,3254108.3459317,217.856
P178,536778.169658556,3254103.72927872,217.702
P179,536778.184662302,3254099.11263686,217.567
P180,536778.199666065,3254094.49598394,217.433
P181,536778.214669808,3254089.87933105,217.287
P182,536778.229673496,3254085.26268927,217.329
P183,536778.2446772,3254080.64603643,217.121
P184,536778.259680885,3254076.02938363,216.793
P185,536778.274684514,3254071.41274194,216.386
P186,536778.28968816,3254066.79608919,215.816
P187,536806.268685475,3254163.83771598,214.706
P188,536806.283701053,3254159.22106257,214.172
P189,536806.298716576,3254154.60442028,213.67
P190,536806.313732115,3254149.98776694,213.209
P191,536806.328747635,3254145.37111362,212.824
P192,536806.3437631,3254140.75447141,212.502
P193,536806.358778581,3254136.13781815,212.254
P194,536806.373794042,3254131.52116492,212.051
P195,536806.388809448,3254126.9045228,211.886
P196,536806.403824871,3254122.28786963,211.731
P197,536806.418840274,3254117.67121649,211.589
P198,536806.433855621,3254113.05457445,211.441
