id,X,Y,Z,sX,sY,sZ
1,583419.3667,7225929.7602,927.8739,0.6947,0.7198,2.0225
2,583497.9182,7225360.3315,941.4542,0.5128,0.5381,1.8886
3,583617.4265,7225137.4258,951.7073,0.6946,0.8706,3.4102
4,583980.0797,7225138.964,954.3536,0.6811,0.6985,2.1247
5,584056.6261,7225218.4397,960.9884,0.7258,0.897,3.4582
6,584224.35,7225801.8042,952.7259,0.7049,0.7778,2.3709
7,583730.9147,7225849.4504,934.8523,0.5908,0.6301,1.7977
8,583137.4968,7225360.609,940.7803,0.9329,0.7239,3.814
9,584579.391,7225802.6663,948.9863,1.623,0.9142,3.6113
10,583527.8785,7224975.7211,933.1083,0.7652,1.2826,3.684
11,583439.6855,7225093.1271,937.6248,0.8817,0.9782,3.5722
12,583519.3804,7225877.7927,932.8659,0.6192,0.6594,1.8875
13,584144.2713,7225959.6107,936.9867,1.1004,0.9345,3.3789
28,584437.3568,7225681.0988,957.6124,1.1853,0.7075,3.4729
29,584092.3193,7225760.2442,951.3746,0.5724,0.5822,1.8479
30,582939.2914,7225451.2219,921.9133,1.5111,0.7253,4.1091
31,583149.4167,7225812.7282,914.4263,1.0945,0.9056,3.5943
32,583280.112,7225178.0527,936.816,0.6662,0.7296,2.0944
33,583206.3512,7225514.2126,933.9651,0.7435,0.5245,2.0312
34,583144.846,7225154.1545,933.9525,0.9308,1.159,3.9088
35,584094.8051,7225956.9619,939.7459,0.9907,0.9232,3.3168
36,584228.8792,7225584.7187,965.1531,0.7019,0.5074,1.9142
37,583882.1371,7225886.4291,944.5051,0.6904,0.7877,3.1677
38,583730.2961,7225831.8276,942.6132,0.5864,0.615,1.7642
39,583653.3612,7225807.7508,940.8794,0.5731,0.6017,1.7627
40,583828.0113,7225415.2853,969.1743,0.4423,0.4408,1.2359
41,583666.868,7225614.5226,955.9894,0.4273,0.4329,1.191
42,583569.9346,7225729.926,947.026,0.5089,0.539,1.4989
